X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
595631.744400000199676,4786869.566099999472,97,Soccer,,Hamilton Mountain,School,,-79.82235544653749,43.228558966811704
595644.636800000444055,4786916.564799999818,98,Soccer,,Hamilton Mountain,School,,-79.8221885691999,43.22898045390968
595607.938,4786598.5181,99,Baseball,,Hamilton Mountain,School,,-79.8226955164471,43.226121786276245
594691.50040000025183,4786032.648399999365,100,Soccer,,Hamilton Mountain,City,,-79.83407521655958,43.22114290303305
594526.666799999773502,4786309.6907,101,Baseball,,Hamilton Mountain,City,,-79.83605692718518,43.22365774623953
593459.171299999579787,4786371.388499999419,102,Soccer,,Hamilton Mountain,City,,-79.84918834454984,43.224346175926705
593517.039200000464916,4786361.4483,103,Soccer,,Hamilton Mountain,City,,-79.84847761226237,43.22424951549593
593578.272199999541044,4786341.98919999972,104,Soccer,,Hamilton Mountain,City,,-79.84772706923728,43.224066735907925
593565.061499999836087,4786298.7791,105,Soccer,,Hamilton Mountain,City,,-79.84789703261754,43.22367935713614
593503.078099999576807,4786316.9911,106,Soccer,,Hamilton Mountain,City,,-79.84865702107773,43.22385100095121
593364.096699999645352,4786288.6084,107,Soccer,,Hamilton Mountain,City,,-79.85037282198384,43.22361268303627
593411.020200000144541,4786274.262499999255,108,Soccer,,Hamilton Mountain,City,,-79.84979757797952,43.2234777203536
593460.1003,4786258.518899999559,109,Soccer,,Hamilton Mountain,City,,-79.84919602316288,43.223329905073754
593508.402099999599159,4786242.6442,110,Soccer,,Hamilton Mountain,City,,-79.8486040758917,43.2231810022685
593556.675900000147521,4786227.885399999097,111,Soccer,,Hamilton Mountain,City,,-79.84801228650748,43.223042146656965
593604.743300000205636,4786212.4514,112,Soccer,,Hamilton Mountain,City,,-79.84742315554071,43.222897235225616
589190.788499999791384,4788114.525,113,Baseball,,Hamilton Mountain,City,,-79.90145560494015,43.24055635339574
589140.2357,4788018.9679,114,Baseball,,Hamilton Mountain,City,,-79.90209359038536,43.2397020251635
590155.422299999744,4787478.527899999171,115,Baseball,,Hamilton Mountain,School,,-79.88968056937635,43.23471575600769
590124.545800000429153,4787445.148399999365,116,Baseball,,Hamilton Mountain,City,,-79.89006621820596,43.234418929213184
590186.660299999639392,4787426.158099999651,117,Baseball,,Hamilton Mountain,City,,-79.88930448935896,43.23424053478759
589900.0208,4788004.234899999574,118,Baseball,,Hamilton Mountain,Other,,-79.89273971486418,43.23947919615312
589645.696700000204146,4788049.924399999902,119,Soccer,,Hamilton Mountain,School,,-79.89586411697267,43.239920813501904
589699.1223,4788191.481399999931,120,Soccer,,Hamilton Mountain,School,,-79.89518318192746,43.24118890405738
589565.168999999761581,4788078.603,121,Soccer,,Hamilton Mountain,School,,-79.89685111022838,43.240188576680524
589533.937099999748,4787894.136499999091,122,Soccer,,Hamilton Mountain,Other,,-79.89726566937155,43.23853152573196
589513.36780000012368,4787842.788899999112,123,Soccer,,Hamilton Mountain,Other,,-79.89752729732447,43.238071682345904
589625.165500000119209,4787850.0096,124,Soccer,,Hamilton Mountain,Other,,-79.89614944127702,43.23812341367861
589683.360100000165403,4787830.5942,125,Soccer,,Hamilton Mountain,Other,,-79.8954359873326,43.23794169803359
588097.448200000450015,4787743.964099999517,126,Baseball,,Hamilton Mountain,City,,-79.91497887285783,43.237348674013916
588109.7604,4788389.6227,127,Baseball,,Hamilton Mountain,Other,,-79.91472408047707,43.243160159874584
588740.450000000186265,4786784.4098,128,Baseball,,Hamilton Mountain,Other,,-79.90721536024891,43.22863434847267
587603.389000000432134,4786993.0295,1,Tennis,,Hamilton Mountain,School,,-79.92118199438258,43.23064546620835
587619.36699999962,4786994.319199999794,2,Bocce,,Hamilton Mountain,School,,-79.92098505808373,43.230655222004664
589495.1239,4785734.8668,3,Baseball,,Hamilton Mountain,School,,-79.89809390690948,43.219096096395404
589452.84360000025481,4785725.446699999273,4,Baseball,,Hamilton Mountain,School,,-79.89861591359991,43.21901629956954
589445.845499999821186,4785685.245699999854,5,Baseball,,Hamilton Mountain,School,,-79.89870857666084,43.2186551959548
589500.7555,4785637.878699999303,6,Baseball,,Hamilton Mountain,School,,-79.89804030730348,43.21822223782882
