timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-09-28,114.1900,114.5700,113.6800,114.3700,113.8710,21647811,0.0000,1.0000
2018-09-27,114.7800,114.9100,114.2000,114.4100,113.9108,19091299,0.0000,1.0000
2018-09-26,114.4700,115.0550,113.7400,113.9800,113.4827,19352025,0.0000,1.0000
2018-09-25,114.8000,115.1000,113.7500,114.4500,113.9506,22668014,0.0000,1.0000
2018-09-24,113.0300,114.9000,112.2175,114.6700,114.1697,27334460,0.0000,1.0000
2018-09-21,114.0000,115.2900,113.5100,114.2600,113.7615,71229698,0.0000,1.0000
2018-09-20,112.2800,113.8000,111.9300,113.5700,113.0745,23714512,0.0000,1.0000
2018-09-19,113.0500,113.3200,111.0350,111.7000,111.2126,21728429,0.0000,1.0000
2018-09-18,112.1900,113.6950,111.7200,113.2100,112.7161,22170934,0.0000,1.0000
2018-09-17,113.6900,113.7000,111.8600,112.1400,111.6507,20736516,0.0000,1.0000
2018-09-14,113.3600,113.7300,112.4400,113.3700,112.8754,19122349,0.0000,1.0000
2018-09-13,112.1200,113.7250,112.1200,112.9100,112.4174,26055620,0.0000,1.0000
2018-09-12,111.4300,111.8500,110.5100,111.7100,111.2226,18891064,0.0000,1.0000
2018-09-11,108.9000,111.5900,108.8900,111.2400,110.7547,24301774,0.0000,1.0000
2018-09-10,108.8400,109.6400,108.3600,109.3800,108.9028,20727906,0.0000,1.0000
2018-09-07,108.2300,108.7248,107.2300,108.2100,107.7379,22498646,0.0000,1.0000
2018-09-06,108.2500,108.9900,107.5100,108.7400,108.2656,23477624,0.0000,1.0000
2018-09-05,111.0100,111.4200,108.1000,108.4900,108.0166,32872352,0.0000,1.0000
2018-09-04,110.8500,111.9550,110.2200,111.7100,111.2226,22634641,0.0000,1.0000
2018-08-31,111.6850,112.7770,111.5150,112.3300,111.8399,23222713,0.0000,1.0000
2018-08-30,111.6700,112.6100,111.4400,111.9500,111.4616,22798702,0.0000,1.0000
2018-08-29,110.4500,112.0300,110.2700,112.0200,111.5312,20818044,0.0000,1.0000
2018-08-28,109.9400,110.5000,109.7900,110.2600,109.7789,19151528,0.0000,1.0000
2018-08-27,109.2700,109.6400,108.5100,109.6000,109.1218,19662331,0.0000,1.0000
2018-08-24,107.6700,108.5600,107.5600,108.4000,107.9270,17234020,0.0000,1.0000
2018-08-23,107.1500,108.1800,106.8700,107.5600,107.0907,18167723,0.0000,1.0000
2018-08-22,105.8500,107.3400,105.7800,107.0600,106.5929,18000639,0.0000,1.0000
2018-08-21,106.9200,107.3500,105.8500,105.9800,105.5176,22881861,0.0000,1.0000
2018-08-20,107.5100,107.9000,106.4800,106.8700,106.4037,17914201,0.0000,1.0000
2018-08-17,107.3600,107.9000,106.6900,107.5800,107.1106,18061512,0.0000,1.0000
2018-08-16,108.3000,108.8600,107.3000,107.6400,107.1704,21384289,0.0000,1.0000
2018-08-15,108.4900,108.9850,106.8200,107.6600,107.1903,29982806,0.4200,1.0000
2018-08-14,108.5600,109.7500,108.0400,109.5600,108.6581,16788314,0.0000,1.0000
2018-08-13,109.2400,109.5800,108.1000,108.2100,107.3192,18474884,0.0000,1.0000
2018-08-10,109.4200,109.6900,108.3800,109.0000,108.1027,18183724,0.0000,1.0000
2018-08-09,109.7100,110.1600,109.6000,109.6700,108.7672,13677211,0.0000,1.0000
2018-08-08,109.3300,109.7500,108.7599,109.4900,108.5887,15487502,0.0000,1.0000
2018-08-07,108.5600,109.1000,108.1700,108.8800,107.9837,16080214,0.0000,1.0000
2018-08-06,108.1200,108.4200,107.5590,108.1300,107.2399,20265947,0.0000,1.0000
2018-08-03,107.8000,108.0500,106.8200,108.0400,107.1506,18659599,0.0000,1.0000
2018-08-02,105.4000,108.0900,104.8400,107.5700,106.6845,26104258,0.0000,1.0000
2018-08-01,106.0300,106.4460,105.4200,106.2800,105.4051,23628699,0.0000,1.0000
2018-07-31,106.4900,106.7200,105.3800,106.0800,105.2067,27655152,0.0000,1.0000
2018-07-30,107.1900,107.5300,104.7600,105.3700,104.5026,34668327,0.0000,1.0000
2018-07-27,110.1800,110.1800,106.1400,107.6800,106.7936,37005292,0.0000,1.0000
2018-07-26,110.7400,111.0000,109.5000,109.6200,108.7176,31372110,0.0000,1.0000
2018-07-25,107.9550,111.1500,107.6000,110.8300,109.9176,30798058,0.0000,1.0000
2018-07-24,108.5700,108.8200,107.2600,107.6600,106.7737,26316619,0.0000,1.0000
2018-07-23,106.3000,108.1400,106.1300,107.9700,107.0812,29706955,0.0000,1.0000
2018-07-20,108.0800,108.2000,106.0800,106.2700,105.3952,56038827,0.0000,1.0000
2018-07-19,104.9300,105.3100,103.8900,104.4000,103.5406,40171646,0.0000,1.0000
2018-07-18,105.9400,106.0500,104.7150,105.1200,104.2546,29493927,0.0000,1.0000
