X,Y,OBJECTID,NAME,DENOMINATION,ADDRESS,COMMUNITY,LONGITUDE,LATITUDE
596763.0152000002563,4788774.8637,349,Holy Family Catholic Church,Roman Catholic,1393 CANNON ST E,HAMILTON,-79.8080931746496,43.24556767134163
593584.173100000247359,4789130.90499999933,350,Holy Veil Of Holy Mother Russian Orthodox Church,Orthodox,75 SANFORD AVE S,HAMILTON,-79.8471811343366,43.24917430970525
570429.239099999889731,4782944.803099999204,351,Jerseyville Baptist Church,Baptist,3203 JERSEYVILLE RD W,ANCASTER,-80.13316795226581,43.19599528719942
572798.088399999774992,4783530.566099999472,352,United Church (Jerseyville),United,15 FIELD RD,ANCASTER,-80.1039387861501,43.20104470218849
584812.369800000451505,4791171.8771,353,Knox Presbyterian Church (Dundas),Presbyterian,23 MELVILLE ST,DUNDAS,-79.9549040045081,43.268587393520804
589666.97690000012517,4798747.8066,354,Knox Presbyterian Church (Waterdown),Presbyterian,80 MILL ST N,FLAMBOROUGH,-79.89385798033041,43.33623085755729
592136.35190000012517,4786707.3866,355,Linden Park Community Church,Community Church,484 EAST 16TH ST,HAMILTON,-79.86541764970315,43.227533837807066
576250.635700000450015,4786353.272099999711,356,United Church,United, POWERLINE RD,ANCASTER,-80.06105749654591,43.226118336644596
581994.832999999634922,4785115.17659999989,324,Ancaster Baptist Church,Baptist,91 CARRINGTON CRT,ANCASTER,-79.99051836911804,43.214368968741034
580348.901399999856949,4783014.4,325,Ancaster Canadian Reformed Church,Reformed,575 SHAVER RD,ANCASTER,-80.01108490906827,43.19563179179534
582967.522300000302494,4783693.8647,326,Ancaster Christian Reformed Church,Christian Reformed,70 GARNER RD E,ANCASTER,-79.97875845915148,43.2014661417033
