X,Y,OBJECTID,NAME,ADDRESS,DESCRIPTION,CURRENT_BIKES,AVAILABLE_BIKES,FREE_RACKS,RACKS_AMOUNT,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
592235.2511,4790216.1808,3,Seedworks,"126 Catharine Street North, Hamilton",Outside SoBi Hamilton Office,1,1,13,16,-79.86361294962927,43.259111192011055,2018-10-13T00:00:00.000Z
585180.320299999788404,4790853.444,4,Cootes at York and King,"4 Cootes Drive, Hamilton",,6,6,5,12,-79.95041996200833,43.26567898029934,2018-10-13T00:00:00.000Z
585820.0504,4790180.702899999917,5,Osler at Grant,"89-101 Osler Drive, Hamilton",,5,5,5,10,-79.94264344437589,43.25954960556861,2018-10-13T00:00:00.000Z
586062.179899999872,4789351.03199999966,6,Main at Whitney,"1850, Main Street West, University Gardens, Ancaster, Hamilton, Ontario",,4,4,5,9,-79.93979036806346,43.25205234950655,2018-10-13T00:00:00.000Z
586506.542299999855459,4789934.435499999672,7,Osler at Main,"1686 Main Street West, Hamilton",,5,5,5,10,-79.93422554100847,43.25725394381771,2018-10-13T00:00:00.000Z
586417.237300000153482,4789333.3165,8,Whitney at Lower Horning,"377, Whitney Avenue, University Gardens, Hamilton, Ontario",,8,8,0,10,-79.93541989364822,43.25185223543052,2018-10-13T00:00:00.000Z
586863.693900000303984,4790105.5831,9,Sanders at Binkley,"58, Sanders Boulevard, University Gardens, Hamilton, Ontario",,5,5,4,10,-79.9297991391018,43.25875372735213,2018-10-13T00:00:00.000Z
587131.368700000457466,4790236.686699999496,10,Sanders at Hollywood,"26, Sanders Boulevard, University Gardens, Hamilton, Ontario",,3,3,6,10,-79.92648108988178,43.259903167245284,2018-10-13T00:00:00.000Z
588525.370699999853969,4790325.1095,11,King at Cline,"1108 King Street West, Hamilton",,4,4,5,10,-79.90929483523264,43.26053678468679,2018-10-13T00:00:00.000Z
588192.507699999958,4790508.5307,12,Sterling at Whitton,"139, Sterling Street, Westdale, Hamilton, Ontario",,4,4,7,11,-79.91336588409814,43.2622271630598,2018-10-13T00:00:00.000Z
588444.286799999885261,4790489.411299999803,13,Sterling at Haddon,"71 Sterling Street, Hamilton",,1,1,9,10,-79.91026729332131,43.262025521762105,2018-10-13T00:00:00.000Z
588984.685100000351667,4790573.171,14,Westdale Library,"955 King Street West, Hamilton",,5,5,3,9,-79.9035966394892,43.262715994251685,2018-10-13T00:00:00.000Z
587488.670199999585748,4789379.2642,15,Emerson at Whitney,"202, Emerson Street, University Gardens, Hamilton, Ontario",,4,4,6,10,-79.92221581663549,43.25214232110421,2018-10-13T00:00:00.000Z
587599.740799999795854,4789661.9633,16,Rail Trail at Emerson,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,5,5,7,12,-79.92080281538983,43.25467458772047,2018-10-13T00:00:00.000Z
588864.668800000101328,4790493.7113,17,Westdale Village,"25 Marion Avenue South, Hamilton",,2,2,8,11,-79.90508794788292,43.262014778970546,2018-10-13T00:00:00.000Z
587941.209499999880791,4789546.0931,18,Rail Trail at Stroud,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,8,8,2,10,-79.91661527518899,43.25359163805224,2018-10-13T00:00:00.000Z
588644.7933,4790107.8978,19,Main at Columbia College,"82 Newton Avenue, Hamilton",,2,2,7,10,-79.90785867024088,43.25856718095239,2018-10-13T00:00:00.000Z
589199.711299999617,4790609.479399999604,20,Longwood at King,"881, King Street West, Westdale, Hamilton, Ontario",,0,0,9,10,-79.90094184265911,43.263017457095636,2018-10-13T00:00:00.000Z
589327.526999999769032,4790965.9053,21,Longwood at Edgevale,"78, Longwood Road North, Westdale, Hamilton, Ontario",,13,13,0,10,-79.89930945072275,43.266211221631316,2018-10-13T00:00:00.000Z
588632.128999999724329,4788720.767599999905,22,Chedoke Stairs,"Chedoke Park, Hamilton, Ontario",,3,3,7,10,-79.90823779740799,43.24608026242174,2018-10-13T00:00:00.000Z
589084.910500000230968,4790150.5446,23,Main at Longwood,"925, Main Street West, McMaster Innovation Park, Hamilton, Ontario",,4,4,4,10,-79.9024303166503,43.25889923705277,2018-10-13T00:00:00.000Z
596110.093100000172853,4789422.0939,123,Barton at Ottawa - ERI06,"437-443 Ottawa Street North, Hamilton",,2,2,4,7,-79.8160211746482,43.25147804403345,2018-10-13T00:00:00.000Z
595860.6047,4788637.535099999979,124,Ottawa at Dunsmure - ERI07,"463 Dunsmure Road, Hamilton",,2,2,2,7,-79.8192304372373,43.24444659758296,2018-10-13T00:00:00.000Z
595395.556300000287592,4788377.300599999726,125,Maple at Rothsay - ERI08,"394 Maple Avenue, Hamilton",,4,4,3,7,-79.82500255113169,43.2421627336722,2018-10-13T00:00:00.000Z
595238.239799999631941,4788839.512599999085,126,King at Dunsmure - ERI09,"304 Dunsmure Road, Hamilton",,1,1,6,7,-79.8268599805827,43.24634382671116,2018-10-13T00:00:00.000Z
594256.976800000295043,4789168.920399999246,127,Dunsmure at Sherman - ERI10,"44 Dunsmure Road, Hamilton",,4,4,2,7,-79.83888834759689,43.249432741404554,2018-10-13T00:00:00.000Z
595186.261199999600649,4789370.0197,128,Gage at Cannon - ERI11,"75-77 Gage Avenue North, Hamilton",,2,2,5,7,-79.82740849222654,43.251126444296524,2018-10-13T00:00:00.000Z
595513.029400000348687,4789130.4701,129,Belview at Cannon - ERI12,"1065 Cannon Street East, Hamilton",,2,2,2,7,-79.82342541216097,43.24892849896579,2018-10-13T00:00:00.000Z
593957.7478,4790151.843499999493,130,Westinghouse at Barton - ERI13,"9 Westinghouse Avenue, Hamilton",,4,4,2,10,-79.84240606419081,43.25831920064561,2018-10-13T00:00:00.000Z
590991.307300000451505,4790133.10099999979,131,George Street,"118, George Street, Hess Village, Hamilton, Ontario",Sponsored hub.  Installed 2018-02-12,1,1,9,10,-79.87894982114983,43.258514440742516,2018-10-13T00:00:00.000Z
591905.998200000263751,4790286.241299999878,132,James at Vine,"30 Vine Street, Hamilton",,2,2,7,10,-79.8676570508584,43.25978216432791,2018-10-13T00:00:00.000Z
