OBJECTID,COMMUNITY,STREET_NO_1,STREET_NO_2,STREET_NAME,NAME,HERITAGE_STATUS,DATE_HERITAGE,PART_IV,BYLAW_NO,PART_V,HCD_NAME,EASEMENT,WORK_PLAN
100,Hamilton,136,,MACNAB ST N,,Inventoried,,No,,No,,,No
101,Hamilton,700,,MAIN ST W,Westdale Secondary School,Inventoried,1930,No,,No,,,No
102,Hamilton,77,,TISDALE ST S,,Inventoried,,No,,No,,,No
103,Hamilton,28,,ABERDEEN AVE,,Registered Non-Designated,1935,No,,No,,,No
104,Flamborough,2258,,CENTRE RD,,Inventoried,1866,No,,No,,,No
105,Hamilton,197,,BAY ST N,,Inventoried,,No,,No,,,No
106,Hamilton,195,,BAY ST N,,Inventoried,,No,,No,,,No
107,Dundas,106,,PARK ST W,,Inventoried,1939,No,,No,,,No
108,Hamilton,36,,WESTMINSTER AVE,,Inventoried,,No,,No,,,No
109,Hamilton,92,,ONTARIO AVE,,Inventoried,,No,,No,,,No
110,Flamborough,1826,,BROCK RD,,Inventoried,,No,,No,,,No
111,Hamilton,656,,GARTH ST,,Inventoried,,No,,No,,,No
112,Dundas,50,,SOUTH ST W,Mount Fairview,Inventoried,1845,No,,No,,,No
113,Hamilton,125,,ABERDEEN AVE,Residence,Registered Non-Designated,1909,No,,No,,,Yes
114,Hamilton,93,,AUGUSTA ST,,Inventoried,,No,,No,,,No
115,Hamilton,81,,NAPIER ST,,Registered Non-Designated,1931,No,,No,,,No
116,Flamborough,589,,HARVEST RD,,Inventoried,,No,,No,,,No
117,Hamilton,158,,HUNTER ST E,,Inventoried,,No,,No,,,No
118,Dundas,24,,NAPIER ST N,Stone Cottage,Designated,1851,Yes,3458-84,No,,,No
119,Hamilton,202,,BAY ST N,,Inventoried,,No,,No,,,No
120,Glanbrook,601,,BELL RD,,Inventoried,1892,No,,No,,,No
121,Dundas,108,,PARK ST W,Dundas Baptish Church,Inventoried,1866,No,,No,,,No
122,Hamilton,52,,CATHCART ST,,Registered Non-Designated,1892,No,,No,,,No
123,Hamilton,64,,WENTWORTH ST N,Church of God Prophecy,Inventoried,,No,,No,,,No
124,Hamilton,125,,ST CLAIR AVE,,Designated,,No,86-125,Yes,St. Clair Avenue,,No
125,Hamilton,68,,ONTARIO AVE,,Inventoried,,No,,No,,,No
126,Hamilton,173,,DUKE ST,,Registered Non-Designated,1900,No,,No,,,No
127,Hamilton,1064,,BEACH BLVD,,Designated,2005,No,00-135,Yes,Hamilton Beach,,No
128,Hamilton,270,,MACNAB ST N,,Inventoried,,No,,No,,,No
129,Flamborough,1644,,2ND CON RD W,,Inventoried,,No,,No,,,No
130,Flamborough,417,,10TH CON RD E,,Inventoried,,No,,No,,,No
131,Hamilton,418,,MAIN ST E,,Inventoried,1890,No,,No,,,No
132,Hamilton,718,,BARTON ST E,St. Stanislaus Roman Catholic Church,Inventoried,1912,No,,No,,,No
133,Hamilton,154,,GRANT AVE,,Inventoried,,No,,No,,,No
134,Hamilton,45,,OXFORD ST,,Inventoried,,No,,No,,,No
135,Hamilton,61,,CATHCART ST,,Registered Non-Designated,1890,No,,No,,,No
136,Hamilton,936,,BEACH BLVD,,Designated,1900,No,00-135,Yes,Hamilton Beach,,No
137,Hamilton,277,,QUEEN ST S,,Registered Non-Designated,1899,No,,No,,,No
138,Flamborough,,,DUNDAS ST E,,Designated,,No,96-34-H,Yes,Mill Street,,No
139,Hamilton,5,,TOM ST,,Inventoried,1900,No,,No,,,No
140,Flamborough,1,,WEBSTERS FALLS RD,,Inventoried,1935,No,,No,,,No
141,Dundas,10,,MARKET ST S,The Armoury (Lions Memorial Community Centre),Designated,1874,Yes,4578-00,No,,,No
142,Flamborough,451,,ROCK CHAPEL RD,Rock Chapel United Church,Inventoried,1876,No,,No,,,No
143,Dundas,63,65,SYDENHAM ST,,Designated,1890,No,3899-90,Yes,Cross-Melville,,No
144,Hamilton,18,,BLYTHE ST,,Inventoried,,No,,No,,,No
145,Hamilton,171,,FOREST AVE,Georgian-style House,Designated,1860,Yes,77-287,No,,,No
146,Hamilton,19,,BOLD ST,Royal Alexandra,Registered Non-Designated,1900,No,,No,,,Yes
147,Flamborough,306,,CAMPBELLVILLE RD,,Inventoried,1860,No,,No,,,No
148,Hamilton,914,,FENNELL AVE E,Blessed Sacrament Roman Catholic Church,Inventoried,1958,No,,No,,,No
149,Flamborough,68,,5TH CON RD E,,Inventoried,,No,,No,,,No
150,Hamilton,37,,GREIG ST,,Inventoried,,No,,No,,,No
151,Hamilton,90,,STINSON ST,Fearman House,Designated,1863,Yes,93-124,No,,,No
152,Ancaster,,,CARLUKE RD W,White Church Cemetery,Inventoried,1831,No,,No,,,No
153,Dundas,48,,DUNDAS ST,,Inventoried,1867,No,,No,,,No
154,Flamborough,,,HIGHWAY 8,Former Great Western Railway Line,Inventoried,1900,No,,No,,,No
155,Flamborough,392,,MOXLEY RD,,Inventoried,,No,,No,,,No
156,Glanbrook,3273,,KIRK RD,,Inventoried,1880,No,,No,,,No
157,Glanbrook,9349,,WHITE CHURCH RD,,Inventoried,1911,No,,No,,,No
158,Hamilton,152,,WILSON ST,,Registered Non-Designated,1887,No,,No,,,No
159,Flamborough,1752,,HIGHWAY 97,,Inventoried,1860,No,,No,,,No
160,Hamilton,186,,CHARLTON AVE W,,Registered Non-Designated,1882,No,,No,,,No
161,Hamilton,240,,JAMES ST N,,Inventoried,,No,,No,,,No
162,Hamilton,257,,MAIN ST E,Tim Hortons,Inventoried,1955,No,,No,,,No
163,Hamilton,203,,JACKSON ST E,,Registered Non-Designated,1900,No,,No,,,No
164,Hamilton,95,,STINSON ST,,Inventoried,,No,,No,,,No
165,Flamborough,491,,MIDDLETOWN RD,,Inventoried,,No,,No,,,No
166,Flamborough,382,,5TH CON RD W,Edgar Cummins House,Inventoried,,No,,No,,,No
167,Dundas,10,12,KING ST E,,Inventoried,1867,No,,No,,,No
168,Hamilton,139,,QUEEN ST S,,Registered Non-Designated,1919,No,,No,,,No
169,Hamilton,537,,JAMES ST N,,Inventoried,,No,,No,,,No
170,Hamilton,278,,MACNAB ST N,Church of the Resurrection,Inventoried,1960,No,,No,,,No
171,Hamilton,363,,KING ST W,Grand Lodge A.E. and A.M. of Canada,Inventoried,1960,No,,No,,,No
172,Hamilton,75,,OXFORD ST,,Inventoried,,No,,No,,,No
173,Hamilton,20,,BRUCE ST,,Registered Non-Designated,1895,No,,No,,,No
174,Hamilton,153,,MAIN ST W,,Inventoried,,No,,No,,,No
175,Glanbrook,9275,,CHIPPEWA RD,,Inventoried,1850,No,,No,,,No
176,Hamilton,232,,LOCKE ST N,,Inventoried,1890,No,,No,,,No
177,Dundas,308,,HATT ST,,Inventoried,1867,No,,No,,,No
178,Hamilton,58,,VINE ST,United Hebrew Association of Hamilton,Registered Non-Designated,1870,No,,No,,,No
179,Stoney Creek,360,,ISAAC BROCK DR,Heritage Green Presbyterian Church,Inventoried,1990,No,,No,,,No
180,Hamilton,242,,JAMES ST N,,Inventoried,,No,,No,,,No
181,Hamilton,10,,TURNER AVE,,Registered Non-Designated,1913,No,,No,,,No
182,Hamilton,220,,DUNDURN ST S,,Inventoried,,No,,No,,,No
183,Hamilton,253,,CAROLINE ST S,,Registered Non-Designated,1900,No,,No,,,No
184,Hamilton,96,,JOHN ST N,,Inventoried,1890,No,,No,,,No
185,Hamilton,98,,JOHN ST N,,Inventoried,,No,,No,,,No
186,Hamilton,100,,JOHN ST N,,Inventoried,1900,No,,No,,,No
187,Hamilton,190,,WILSON ST,,Registered Non-Designated,1885,No,,No,,,No
188,Hamilton,280,,LIMERIDGE RD W,Annunciation of Our Lord Roman Catholic Church,Inventoried,1981,No,,No,,,No
189,Hamilton,161,,MOUNT ALBION RD,,Inventoried,,No,,No,,,No
190,Hamilton,165,,MOUNT ALBION RD,,Inventoried,,No,,No,,,No
191,Hamilton,54,,COLBOURNE ST,,Inventoried,,No,,No,,,No
192,Hamilton,103,,CANNON ST E,,Inventoried,1885,No,,No,,,No
193,Hamilton,57,,STRACHAN ST E,,Inventoried,,No,,No,,,No
194,Hamilton,318,,HUNTER ST E,,Inventoried,,No,,No,,,No
195,Hamilton,16,,CROOKS ST,,Inventoried,,No,,No,,,No
196,Hamilton,109,,GEORGE ST,Semi-detached Residence,Designated,1870,Yes,85-176,No,,,No
197,Dundas,19,,KING ST W,,Inventoried,,No,,No,,,No
198,Flamborough,193,,HIGHWAY 8,,Inventoried,1810,No,,No,,,No
199,Hamilton,644,,MAIN ST W,The Beverly Hills Apartments,Inventoried,,No,,No,,,No
200,Hamilton,286,,MAIN ST W,,Inventoried,1895,No,,No,,,No
201,Hamilton,120,,CANNON ST E,Good Shepherd Centre,Registered Non-Designated,1910,No,,No,,,No
202,Hamilton,2,,GROVE ST,,Inventoried,,No,,No,,,No
203,Dundas,54,,YORK RD,,Inventoried,1850,No,,No,,,No
204,Hamilton,230,,KING ST E,,Inventoried,,No,,No,,,No
205,Hamilton,228,,KING ST E,,Inventoried,,No,,No,,,No
206,Hamilton,226,230,KING ST E,Alexanian Carpets,Registered Non-Designated,1894,No,,No,,,No
207,Hamilton,2,4,RAY ST S,Residence,Inventoried,1900,No,,No,,,No
208,Flamborough,17,,FALLSVIEW RD,,Inventoried,1975,No,,No,,,No
209,Hamilton,211,,JACKSON ST E,,Registered Non-Designated,1900,No,,No,,,No
210,Hamilton,232,,KING ST E,"Alexanian Carpets; Middleton Marble and Granite Company",Registered Non-Designated,1876,No,,No,,,No
211,Hamilton,298,,JAMES ST N,,Inventoried,,No,,No,,,No
212,Hamilton,300,,JAMES ST N,,Inventoried,,No,,No,,,No
213,Hamilton,1185,,KING ST E,,Inventoried,1950,No,,No,,,No
214,Ancaster,99,,SAWMILL RD,,Inventoried,1860,No,,No,,,No
215,Hamilton,110,,GEORGE ST,,Registered Non-Designated,1890,No,,No,,,No
216,Dundas,53,,VICTORIA ST,,Inventoried,,No,,No,,,No
217,Hamilton,17,,HERKIMER ST,Herkimer Terrace,Registered Non-Designated,1900,No,,No,,,Yes
218,Stoney Creek,1058,,HIGHWAY 8,,Inventoried,1855,No,,No,,,No
219,Flamborough,1058,,HIGHWAY 8,,Inventoried,1884,No,,No,,,No
220,Hamilton,148,,EMERALD ST S,,Inventoried,,No,,No,,,No
221,Hamilton,334,,ABERDEEN AVE,,Inventoried,1846,No,,No,,,No
222,Hamilton,282,,JAMES ST N,,Inventoried,,No,,No,,,No
223,Hamilton,53,,EAST AVE S,,Inventoried,,No,,No,,,No
224,Hamilton,84,,MAGILL ST,,Inventoried,,No,,No,,,No
225,Hamilton,18,,VICTORIA AVE N,Sunrise Manor,Inventoried,,No,,No,,,No
226,Hamilton,224,,JAMES ST S,,Registered Non-Designated,1978,No,,No,,,No
227,Hamilton,155,,WELLINGTON ST S,,Inventoried,,No,,No,,,No
228,Flamborough,1414,,SAFARI RD,,Inventoried,,No,,No,,,No
229,Hamilton,66,,BAY ST S,Core Lofts,Registered Non-Designated,1976,No,,No,,,No
230,Hamilton,281,,PARK ST S,,Designated,1910,No,94-184,Yes,Durand-Markland,,No
231,Hamilton,832,,KING ST E,,Inventoried,,No,,No,,,No
232,Hamilton,157,,GIBSON AVE,,Inventoried,1898,No,,No,,,No
233,Hamilton,333,,JAMES ST N,,Inventoried,,No,,No,,,No
234,Dundas,65,,HATT ST,,Inventoried,,No,,No,,,No
235,Hamilton,255,,JOHN ST S,,Inventoried,,No,,No,,,No
236,Hamilton,50,,ALBRIGHT RD,Bishop Ryan Catholic Secondary School,Inventoried,,No,,No,,,No
237,Hamilton,2280,,BARTON ST E,Eastlawn Cemetery,Inventoried,1930,No,,No,,,No
238,Stoney Creek,651,,MUD ST E,St. George's Anglican Cemetery,Inventoried,,No,,No,,,No
239,Hamilton,285,,BAY ST N,,Inventoried,,No,,No,,,No
240,Flamborough,1806,,4TH CON RD W,,Inventoried,,No,,No,,,No
241,Hamilton,114,,AUGUSTA ST,,Inventoried,,No,,No,,,No
242,Flamborough,293,,BROCK RD,,Inventoried,1830,No,,No,,,No
243,Hamilton,192,,HESS ST N,,Inventoried,,No,,No,,,No
244,Hamilton,177,,REBECCA ST,,Registered Non-Designated,1975,No,,No,,,No
245,Hamilton,144,,MACNAB ST N,,Inventoried,,No,,No,,,No
246,Hamilton,149,,WELLINGTON ST S,,Inventoried,,No,,No,,,No
247,Hamilton,457,,KING ST E,,Inventoried,,No,,No,,,No
248,Hamilton,459,,KING ST E,,Inventoried,,No,,No,,,No
249,Hamilton,82,,OXFORD ST,,Inventoried,,No,,No,,,No
250,Hamilton,186,,ANNABELLE ST,"Church of God in Hamilton, Sheldon Gospel Hall",Inventoried,,No,,No,,,No
251,Hamilton,153,,ABERDEEN AVE,,Registered Non-Designated,1911,No,,No,,,No
252,Hamilton,531,,JOHN ST N,,Inventoried,1850,No,,No,,,No
253,Dundas,211,,KING ST W,,Inventoried,,No,,No,,,No
254,Dundas,213,,KING ST W,,Inventoried,,No,,No,,,No
255,Dundas,58,,CROSS ST,,Designated,1918,No,3899-90,Yes,Cross-Melville,,No
256,Flamborough,320,,NEFF'S LN,,Inventoried,1867,No,,No,,,No
257,Hamilton,145,,ERIE AVE,,Inventoried,,No,,No,,,No
258,Hamilton,11,,EMERALD ST N,,Inventoried,,No,,No,,,No
259,Hamilton,1018,,KING ST E,,Inventoried,1970,No,,No,,,No
260,Ancaster,137,,CARLUKE RD W,,Inventoried,1865,No,,No,,,No
261,Glanbrook,8270,,DICKENSON RD,,Inventoried,1870,No,,No,,,No
262,Hamilton,132,,MACNAB ST N,,Inventoried,,No,,No,,,No
263,Flamborough,114,,FREELTON RD,,Inventoried,,No,,No,,,No
264,Hamilton,252,,KING ST W,,Registered Non-Designated,1880,No,,No,,,No
265,Flamborough,1650,,HIGHWAY 5 W,,Inventoried,1897,No,,No,,,No
266,Hamilton,183,,ST CLAIR BLVD,,Designated,,No,92-140,Yes,St. Clair Boulevard,,No
267,Stoney Creek,63,,REGIONAL RD 20 E,Our Lady of the Assumption Roman Catholic Church,Inventoried,1970,No,,No,,,No
268,Hamilton,261,,BOLD ST,,Inventoried,1850,No,,No,,,No
269,Stoney Creek,653,,MUD ST E,St. George's Reformed Anglican Church,Inventoried,1887,No,,No,,,No
270,Dundas,10,,KING ST W,Carnegie Library Building,Designated,1910,Yes,3196-80,No,,,No
271,Flamborough,979,,SAFARI RD,,Inventoried,,No,,No,,,No
272,Hamilton,84,,ONTARIO AVE,,Inventoried,,No,,No,,,No
273,Hamilton,75,,ERIE AVE,,Inventoried,,No,,No,,,No
274,Flamborough,197,,4TH CON RD W,,Inventoried,,No,,No,,,No
275,Hamilton,10,,WEST AVE N,,Inventoried,,No,,No,,,No
276,Hamilton,207,,BAY ST N,,Inventoried,,No,,No,,,No
277,Hamilton,53,,MULBERRY ST,,Inventoried,,No,,No,,,No
278,Ancaster,1221,,WILSON ST E,Woodvale Pentecostal Church,Inventoried,,No,,No,,,No
279,Ancaster,941,,OLD MOHAWK RD,,Inventoried,1900,No,,No,,,No
280,Flamborough,433,,LYNDEN RD,,Inventoried,1850,No,,No,,,No
281,Hamilton,75,,WENTWORTH ST N,Wentworth Street School,Inventoried,1889,No,,No,,,No
282,Hamilton,255,,HESS ST S,,Registered Non-Designated,1918,No,,No,,,No
283,Hamilton,29,,ERIE AVE,,Inventoried,,No,,No,,,No
284,Flamborough,1432,,CENTRE RD,Carlisle United Church,Inventoried,1891,No,,No,,,No
285,Flamborough,1432,,CENTRE RD,,Inventoried,1836,No,,No,,,No
286,Stoney Creek,371,,MUD ST E,,Inventoried,1874,No,,No,,,No
287,Flamborough,468,,10TH CON RD E,,Inventoried,,No,,No,,,No
288,Hamilton,150,,MAIN ST W,Former Revenue Canada Building (Federal Building),Inventoried,1955,No,,No,,Fed,No
289,Hamilton,31,,OXFORD ST,,Inventoried,,No,,No,,,No
290,Hamilton,91,,NAPIER ST,,Registered Non-Designated,1885,No,,No,,,No
291,Stoney Creek,112,,MCNEILLY RD,,Inventoried,1857,No,,No,,,No
292,Hamilton,119,,CATHARINE ST S,,Inventoried,,No,,No,,,No
293,Hamilton,147,,MARKLAND ST,,Registered Non-Designated,1898,No,,No,,,No
294,Flamborough,148,,10TH CON RD E,,Inventoried,1900,No,,No,,,No
295,Hamilton,191,,MARKLAND ST,,Registered Non-Designated,1920,No,,No,,,No
296,Hamilton,142,,CANNON ST E,,Registered Non-Designated,1900,No,,No,,,No
297,Hamilton,223,,HESS ST S,,Registered Non-Designated,1850,No,,No,,,No
298,Flamborough,626,,HIGHWAY 6 N,,Inventoried,,No,,No,,,No
299,Glanbrook,4451,,KIRK RD,,Inventoried,1857,No,,No,,,No
300,Flamborough,106,,MIDDLETOWN RD,Former Train Station,Inventoried,,No,,No,,,No
301,Glanbrook,3033,,REGIONAL RD 56,,Inventoried,1900,No,,No,,,No
302,Hamilton,324,,BAY ST S,,Registered Non-Designated,1887,No,,No,,,No
303,Hamilton,266,,KING ST W,,Registered Non-Designated,1860,No,,No,,,No
304,Hamilton,118,,AUGUSTA ST,,Inventoried,,No,,No,,,No
305,Glanbrook,7185,,DICKENSON RD,,Inventoried,1860,No,,No,,,No
306,Glanbrook,7201,,DICKENSON RD,,Inventoried,1910,No,,No,,,No
307,Hamilton,267,,MACNAB ST N,,Inventoried,,No,,No,,,No
308,Hamilton,146,,MARKLAND ST,,Registered Non-Designated,1911,No,,No,,,No
309,Flamborough,1304,,HIGHWAY 6,,Inventoried,,No,,No,,,No
310,Hamilton,55,,MELBOURNE ST,,Inventoried,1880,No,,No,,,No
311,Ancaster,3513,,JERSEYVILLE RD W,,Inventoried,1850,No,,No,,,No
312,Hamilton,976,,KING ST E,,Inventoried,,No,,No,,,No
313,Hamilton,230,,BAY ST N,,Inventoried,,No,,No,,,No
314,Hamilton,314,,JAMES ST N,,Inventoried,,No,,No,,,No
315,Hamilton,379,,HESS ST S,,Registered Non-Designated,1922,No,,No,,,No
316,Flamborough,1905,,SAFARI RD,,Inventoried,,No,,No,,,No
317,Hamilton,124,,HUNTER ST W,,Registered Non-Designated,1857,No,,No,,,No
318,Flamborough,80,,MAIN ST,Lynden Village,Inventoried,,No,,No,,,No
319,Dundas,30,,MELVILLE ST,,Designated,1875,No,3899-90,Yes,Cross-Melville,,No
320,Hamilton,459,,BAY ST N,,Inventoried,1860,No,,No,,,No
321,Hamilton,151,,JAMES ST S,,Inventoried,,No,,No,,,No
322,Hamilton,217,,PARK ST S,,Inventoried,2006,No,,No,,,No
323,Flamborough,1385,,MCLEAN RD,,Inventoried,,No,,No,,,No
324,Dundas,71,,CROSS ST,Dundas Driving Park,Registered Non-Designated,,No,,No,,,No
325,Hamilton,1381,1385,MAIN ST E,,Inventoried,1950,No,,No,,,No
326,Flamborough,297,,DUNDAS ST E,White House,Registered Non-Designated,1870,No,,No,,,No
327,Glanbrook,3078,,REGIONAL RD 56,,Inventoried,1900,No,,No,,,No
328,Hamilton,52,,VICTORIA AVE S,,Inventoried,,No,,No,,,No
329,Hamilton,88,,WEST AVE S,,Inventoried,,No,,No,,,No
330,Hamilton,241,,HUNTER ST W,,Inventoried,1890,No,,No,,,No
331,Hamilton,40,,SHEAFFE ST,,Inventoried,,No,,No,,,No
