X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
595874.606700000353158,4788528.6688,175,341,SHAE School,34 Ottawa Street North,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81907693675963,43.24346471706852
592528.497899999842048,4789792.5961,176,297,Gateway Alt Ed Centre King William,225 King William Street,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86007184235233,43.25526175617247
584953.393199999816716,4784566.3322,177,298,Immaculate Conception Elementary School,470 Kitty Murray Lane,Ancaster,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.95418426387256,43.20910040371201
591977.549200000241399,4783907.5491,178,319,St. John Paul II Elementary School,600 Acadia Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.86783926506592,43.202346307116194
583035.477599999867,4789964.230299999937,179,323,Dundas Valley Secondary School,310 Governors Road,Dundas,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.97697829607486,43.257912599617015
586816.139499999582767,4784394.191899999976,180,189,Hamilton District Christian High School,92 Glancaster Road,Ancaster,Alternative Education,9,12,English,,http://hdch.org/,,-79.93128392167544,43.207338684874
587998.999099999666214,4799541.075099999085,181,187,Guardian Angels Elementary School,705 Centre Road,Flamborough,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.91430342344339,43.34356973390723
585665.329,4785832.991499999538,182,191,Holy Name of Mary Elementary School,161 Meadowlands Boulevard,Ancaster,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.94522490418467,43.22042397220992
594086.782599999569356,4786736.6212,183,170,Blessed Sacrament Elementary School,315 East 37th Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.841399502283,43.22755633007822
594202.800699999555945,4788949.085599999875,184,317,Wilma's Place Alternative Education Centre,770 Main Street East,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.83959316169508,43.247460373499074
592952.570000000298023,4784533.0873,185,199,Saint Teresa of Calcutta Elementary School,1 Rexford Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.85573470243027,43.20785861935258
